Issue Key,Round Number,Round Kappa,Crowd Estimate,Crowd Justification,Auto Quality Class
BEAM-7542,1,0.71,40,"Seems like a bug that needs to be fixed and included in the next version of the software.
The exact time depends on the project roadmap of releasing new versions and also on the size of the team that is working on the project. Considering this is an Apache project, I estimate the whole process might take a few days to a week to release a new version with the fix included.",B
BEAM-7542,1,0.71,8,"Without knowing the underlying architect, I suspect that this is due to a small error when converting complex data types. Most of the time will be spent on tracking down where in the code the error occurs. It will probably take less than 1 hour to then fix the error.",B
BEAM-7542,1,0.71,4,here need to cast the value to appropriate type and also need to update the unit test.,B
BEAM-7542,1,0.71,8,a small iisue can take one day to enough clear the issue,C
BEAM-7542,1,0.71,4,"I think adding code to cast some values and adding appropriate tests will not take very long, maybe a couple hours.",B
BEAM-7542,1,0.71,4,Simple structure based issue. I'm not certain the solution but I'm certain Stack overflow can surface a solution quick,D
BEAM-7542,1,0.71,1,"I think we should try to get this into 2.14. I can help review and merge it. But my understanding is that if it's not a regression then we shouldn't block the release just for this fix.
",D
BEAM-7542,1,0.71,8,"Bigquery IO 
expects BYTES to be base64-encoded by the user of the IO.",D
BEAM-7542,1,0.71,4,"For a typical full-stack developer, half a day.  If the expert is a back-end developer even less than an hour is possible.
",A
BEAM-7542,1,0.71,8,This is technical exception due to incorrect typecasting should not take much effort to fix and test.,B
BEAM-7542,2,0.79,8,"This is a straightforward defect related to wrong typecasting , should not take more than one day to fix.",C
BEAM-7542,2,0.79,40,super,D
BEAM-7542,2,0.79,1,This is a simple cast modification and unit test addition. An experienced programmer and tester should be able to complete this in under an hour.,B
BEAM-7542,2,0.79,8,"Planning poker is based on a list of features to be delivered, several copies of a deck of cards and optionally, an egg timer that can be used to limit time spent in discussion of each item.",D
BEAM-7542,2,0.79,4,Adding code and running a couple tests,B
BEAM-7542,2,0.79,8,I think this could probably just take one day depending on how much the person handling it has experienced such issues in the past,B
BEAM-7542,2,0.79,8,Bytes field type is not identified so the problem is going to take a while at least a day if not two or three days. The problem might require coding and changing variants.,B
BEAM-7542,2,0.79,4,"I think adding code to cast some values and adding appropriate tests will not take very long, maybe a couple hours.",B
IGNITE-8958,1,0.59,20,Good,D
IGNITE-8958,1,0.59,1,Won't take long,C
IGNITE-8958,1,0.59,-1,It's impossible to estimate but the can't estimate button is not working,D
IGNITE-8958,1,0.59,20,very good,D
IGNITE-8958,1,0.59,40,"It will depend on the size of the system and how many people will work on it. As long as it is a small group of people, it will probably take about 4 days to make the updates, 2 more to fix any issues that may arise, and as a precaution one day for any other issues that may occur.",B
IGNITE-8958,1,0.59,4,"Need to update the Angular version. and check thoroughly for any issue, however angular is totally different from anngularjs",C
IGNITE-8958,1,0.59,8,"I believe that with the current team that they have, they should be able to upgrade and fully test in about a day. That should be more than enough time to work out any small bugs.",B
IGNITE-8958,1,0.59,8,"There is a useful tool ngMigration which will help with the migration along with determining the best migration route based on code and scheme. The tool doesnt take into account everything, but it helps make migrating easier. Also, allowed for time to using the Angular CLI and some time to migrate to TypeScript and testing. Obviously, this is an estimate, but seems like it can be a reality.",B
IGNITE-8958,1,0.59,80,"There is not enough information to make an informed estimate actually because I am not getting any real sense about the size of the system( I've never programmed web based frontends using Java type languages), but from the description of the issues and the comments within them, there is clearly a team involved which indicates it is a large(ish) system. You also have regression testing, plus testing of the conversion. I am making assumption that this is purely a conversion task and you are not adding new functionality. So I would say two weeks minimum - you have the conversion task itself, first pass bug fixing for errors introduced during the conversion, regression testing and although not mention, system testing as well. On top of this, you will have documents to update, test scripts to write/update and processes involved with moving the code through your development, test and production landscape.",B
IGNITE-8958,1,0.59,20,Based on the issue comments most of the work is done. It just needs regression testing. 20 hours,B
IGNITE-8958,1,0.59,4,it seemed like the right choice,D
IGNITE-8958,1,0.59,40,IT WILL TAKE ME ABOUT A WEEK TO THOROUGHLY SEEK OUT ANY AND ALL GLITCHES WITHIN THE CODING,C
IGNITE-8958,1,0.59,20,If your upgrading from an older version of Angularjs to AngularJS 1.7 then you might hit some compatibility issues and will have to mitigate those but overall most things will not have to be rewritten. Depending on the dependencies the project has you might also need to upgrade those packages.,B
IGNITE-8958,2,0.76,40,Upgrading to newer version may cause some functionality to break so a week is fair amount of time to allow the team to fix any issues that may come up.,B
IGNITE-8958,2,0.76,20,nice job,D
IGNITE-8958,2,0.76,40,A week seems to be enough time to complete this job if working full time hours completing it.,C
IGNITE-8958,2,0.76,40,"There is not very much information regarding the scope of the problem. If upgrading versions of a popular web framework requires an issue to be posted, then the team is clearly focused on making sure their software is completely compatible. How much time this will really take depends upon how much code will need to be updated to the latest version of AngularJS.",B
IGNITE-8958,2,0.76,8,GOOD,D
IGNITE-8958,2,0.76,40,nice,D
IGNITE-8958,2,0.76,80,GUI is the most integral part of the System and hence when we move from one version of Angular JS to another we have to do lot of testing to make sure that we dont have any deprecated API and it works as expected. If the number of models and controllers are more then it will take longer time to port the code.,B
IGNITE-8958,2,0.76,40,"Without any more information, it's difficult to make an assessment. I've done a bit of upgrading code to a new version of a language though, and for a mid-ish size project, I'd say about a week.",B
IGNITE-8958,2,0.76,8,This can be done in a day but it depends on how much needs to change in order to update.,C
IGNITE-8958,2,0.76,40,If one more person this time falls,C
IGNITE-8958,2,0.76,-1,"Mistakes can be found along the way, many of the issues are not noticeable from the start and finding them and fixing them can take time especially when you aren't aware of them.",B
AMBARI-24059,1,0.74,40,"The developper of the framework need to change a whole fonctionnality. The architecture will change a lot, this is why it will take at least one weak",B
AMBARI-24059,1,0.74,8,almost all stacks would need the HDFS service - so instead of ... Ambari by default supports Python scripts for management,B
AMBARI-24059,1,0.74,1,"The Ambari Views Registry should be updated to allow for specifying a wilcard character in order to instruct the Views framework to match against any stack, regardless of whether the stack begins with the ""HDP"" stack name.",D
AMBARI-24059,1,0.74,20,It takes a long time to refactor views and complex objects which have interactions with other aspects of the code. I suspect this is a hard task to complete.,C
AMBARI-24059,1,0.74,40,It will take a while,C
AMBARI-24059,1,0.74,4,Change to line of code.,B
AMBARI-24059,1,0.74,8,it would seem code needs to be rewritten to be more flexible. if it has not been written with OOP in mind it might require a bit more time,B
AMBARI-24059,1,0.74,20,"This requires extending an already existing filter functionality... to allow more match terms , should ideally involve small code changes to tweak the matching process to allow other terms.",B
AMBARI-24059,2,0.83,20,"This requires some changes in the existing filter functionality , typically should take a couple of days.",B
AMBARI-24059,2,0.83,40,"A week is a solid estimate for this type of project. The worker will be changing fundamentally how the search code works. Sure it already exists, but your adding a wildcard feature, which will allow any input from the user.",B
AMBARI-24059,2,0.83,4,This is a simple update to the registry to allow wildcards. An experienced developer should be able to modify this element with minimal effort.,D
AMBARI-24059,2,0.83,20,"Understanding the already existing code base will take a bit of time in and of itself, and then performing the change may take a day or two.",B
AMBARI-24059,2,0.83,20,"This depends on whether OOP has been taken into consideration in initial writing of the code. If it hasn't, it could take half a week. But if it has, it might only take about a day. It also depends on whether the worker has an extensive history in coding.",B
AMBARI-24059,2,0.83,20,Code needs to be changed and programmed to be more flexible but this change can be complicated.,B
FUSEDOC-871,1,0.56,80,GOOD,D
FUSEDOC-871,1,0.56,4,To embed code and considering fact of bug fixing it would take half day.,B
FUSEDOC-871,1,0.56,-1,NICE,D
FUSEDOC-871,1,0.56,-1,"Through google research, I found a website called jboss.org. On the website, it stated it will take about a month to solve this issue.",B
FUSEDOC-871,1,0.56,8,"Need to include the module for encryption
change the existing code -  depends on how code is written
test the code change",B
FUSEDOC-871,1,0.56,4,GOOD,D
FUSEDOC-871,1,0.56,4,"Honestly- it depends on how many passwords there are to encrypt. But, it shouldn't take too much time. Maybe a few hours. Depends on how fast the program is set up to run.",B
FUSEDOC-871,1,0.56,20,As per the documentation this effort requires creating application security policy at server side with the encrypted password hence my estimate is about 2 day i.e. half a week. For implementing and testing the policy.,B
FUSEDOC-871,2,0.75,4,good,D
FUSEDOC-871,2,0.75,40,"While the actual code appears to be easy enough to deploy, the biggest issue is making sure this is secure - given the significant issues to the program users if the particular code is poorly protected. Simply taking code publicly available on the Jboss/Apache site is not going to automatically address all the security (and in fact might be easier to exploit). Estimate may take longer if the customer has more stringent security concerns or there are complications with inserting code in what is already within the program.",B
FUSEDOC-871,2,0.75,20,Encryption algorithms are readily available. Trying to integrate this into the current system with proper testing should be fairly easy but this is generally where issues tend to pop up.,C
FUSEDOC-871,2,0.75,40,"You would need to auto-establish a folder (the creation of a allowable file), with an encrypted data file containing the user's password, encrypted with a fluent, changing key, which the code can call from a cloud-based database. I've written similar code for encrypting text files, which were scrambled by a ""phrase"" of numbers\letters taken from an (always available), innocent-looking public file.",B
FUSEDOC-871,2,0.75,40,"Anything that is this tedious, I would recommend writing a script to automate this. I would recommend writing said script in Python.",D
FUSEDOC-871,2,0.75,8,"Its a class, so the methods that the class uses are well documented. Implementing the class would take a couple of minutes to an hour. The bulk of the time would be running unit tests to ensure that no bugs are introduced
",B
FUSEDOC-871,2,0.75,20,"Since this step mainly involves security policy implementation and documentation, one person needs to do enough research and testing to ensure the system doesn't break. Compatibility is vital and will take time to be tested and hence half a week should be dedicated to the combined efforts.",B
FUSEDOC-871,2,0.75,20,Spec seems pretty clear and redhats documentation about implementation would be helpful to reference.,D
FUSEDOC-871,2,0.75,8,"From the issue title, it seems as though the doc is already written and just needs to be placed in the correct section. This would only take a little bit of time, plus time for bug fixing if need be. In addition, my time estimate is in line with the average estimate, so I am comfortable with this.",B
QPID-6756,1,0.7,40,Implement message listener to read messages from the queue and implement the logic. Queue based messages are more secure and able to easily configure the firewall rules and authentication. One week is sufficient to develop and test the code if the environment is already ready.,B
QPID-6756,1,0.7,20,The comments suggest 1) the code just needs to accept some kind of connection object rather than handling low-level networking and 2) there was already an implementation available somewhere which maybe had to be reworked or rebased onto the current code. Based on my experience it could take up to a couple days to implement and thoroughly test something in this situation.,B
QPID-6756,1,0.7,8,This typically should not involve coding but adjusting the firewall settings in user's environment to allow incoming socket connections.So this should not take much development effort .,B
QPID-6756,1,0.7,8,"Socket programming to client API - half a day
check the connnections - 1/2 a day",A
QPID-6756,1,0.7,80,good,D
QPID-6756,1,0.7,4,"Customizing the firewall rules and allowing specific ports, services and IP etc. may be the issue. This will work out if fixed immediately, otherwise the problem would not take more than half a day I suppose.",B
QPID-6756,1,0.7,40,1.Need to analyse firewall rules in detailed which is blocking outbound calls. 2. Impact analysis of security threat by removing firewall rules for the applicaiton being developed need to be done. 3. To make necessary socket layer changes.,B
QPID-6756,2,0.67,40,This is just configuration of ready api. 2 days Configuration and unit testing 2 days for QA. and 1 day testing,B
QPID-6756,2,0.67,40,finish within a week.,D
QPID-6756,2,0.67,20,GOOD,D
QPID-6756,2,0.67,8,Very nice,D
QPID-6756,2,0.67,40,User needs time to find the firewall rules as well as the impeding applications. They also need time to write the code as well as test and debug. Also any red tape that needs to be gone through in terms of deploying and then testing again.,B
QPID-6756,2,0.67,40,Socket layer changes would need to be created. Research to make custom modifications for users system. Time needed to test probable error causing events.,B
QPID-6756,2,0.67,8,Shouldn't take too long,B
QPID-6756,2,0.67,8,"Determine the settings that need to be made to allow the connection could take a few minutes to several hours depending on unknown issues. Then it should be reviewed by the security officer before making firewall changes, which may take another few hours depending on the workload.",B
QPID-6756,3,0.79,20,"It is a job that can be done in a relatively short time if you have the right knowledge, you need to run tests to check for bugs and defects but all in all it is a query that should not cause many problems.",B
QPID-6756,3,0.79,40,"goodnswer:
The rationale or justification for doing any research must be gleaned from the existing literature on the subject. You will need to conduct a thorough literature survey and identify gaps in the current literature. The best way to write this is to introduce the current literature in the background/Introduction section and then highlight the gaps in the literature that have not been addressed or are yet to be understood. This will help set up the need for the current study and thus justify the need for this research",C
QPID-6756,3,0.79,20,"There are changes that need to be made to the settings to allow the connection, but I don't think that fix should take more than a day or two. Give it another couple days for the security officer to confirm it.",B
QPID-6756,3,0.79,40,Socket layer changes would need to be created. Research to make custom modifications for users system. Time needed to test probable error causing events.,B
QPID-6756,3,0.79,40,"This should take a couple of days until approved and fully checked so probably between half a week and a week, I don't believe it will take more than that time but it needs to be fully tested before its launched for clients.",B
QPID-6756,3,0.79,80,Socket layer changes would need to be created. Research to make custom modifications for users system. Time needed to test probable error causing events.,B
JBEAP-11450,1,0.67,80,good,D
JBEAP-11450,1,0.67,4,need to chage the code to reload without comprimising security. Unit and Security testing will take one hour.,B
JBEAP-11450,1,0.67,8,Looks to be a small change with some modification in CLI command to allow reload server.,B
JBEAP-11450,1,0.67,8,It seems like the issue may be fixed by editing a script that modifies the CLI command. It might take the rest of the day to test for bugs or other things that may be affected by the change.,B
JBEAP-11450,1,0.67,1,"Add CLI command - 1/2  hour
testing - 1/2 hour",B
JBEAP-11450,1,0.67,40,"In planning poker, members of the group make estimates by playing numbered cards face-down to the table, instead of speaking them aloud. The cards are revealed, and the estimates are then discussed. By hiding the figures in this way, the group can avoid the cognitive bias of anchoring, where the first number spoken aloud sets a precedent for subsequent estimates.",B
JBEAP-11450,2,0.62,1,Sounds like it needs a simple restart function created to add in the necessary commands,B
JBEAP-11450,2,0.62,1,excellent,D
JBEAP-11450,2,0.62,8,GOOD,D
JBEAP-11450,2,0.62,20,"the average estimate with standard deviation is half a week. Using this method provides the least amount of bias in the data which ensures accuracy, ultimately resulting in the best a",B
JBEAP-11450,2,0.62,20,"If it comes down to a line of code, then the fix should only take a handful of minutes. However, from the comments it seems that the reproducibility of the issue is dependent on version, which could be a bit trickier. And considering the fact that it could be a release blocker, there could be a lot of red tape involved in getting the issue resolved fully.",B
JBEAP-11450,2,0.62,20,This could be tricky to understand the root cause and require a large amount of research so a day for research and a day or two for the fix.,A
JBEAP-11450,2,0.62,4,The problem seems complicated a lot of trial and error must be done in order to rule out mistakes. I believe this can take a day or two for completion. If the mistake is found fast then it can take even less time maybe half a day or a few hours.,A
JBEAP-11450,3,0.71,8,Sounds like a simple scripting change but you will need some time to test the change before pushing it to production.,B
JBEAP-11450,3,0.71,20,"It takes a lot of research, but probably could be done in at least 2 days.",C
JBEAP-11450,3,0.71,20,"The problem seems complicated enough, I believe with luck it can be done in a day but most likely will take two or three days to complete and make sure everything works according to planed.",B
JBEAP-11450,3,0.71,20,The problem seems complicated a lot of trial and error must be done in order to rule out mistakes. I believe this can take a day or two for completion. If the mistake is found fast then it can take even less time maybe half a day or a few hours.,A
JBEAP-11450,3,0.71,1,Sounds like it needs a simple restart function created to add in the necessary commands.,B
JBEAP-11450,3,0.71,8,"I'm setting up a day because fixing bugs requieres wiggle room for the developer to situate himself in the bug, but it sounds like a simple configuration issue that should be solved in half a day.",B
IGNITE-9596,1,0.5,40,"Honestly it should just take a few days to modify and test the code or less. The check box is hidden, that's usually only one line of code or that's in a block of code. Nevertheless, it should be changing one value like true/false or 0 to 1 to unhide the element.",B
IGNITE-9596,1,0.5,4,Setting visibility should be fairly simple. Simply need to figure out the state of all relevant variables after performing the reproduction steps and then see what needs to be updated to hide the checkbox. That process might take time if it's not easy to debug or view the state.,B
IGNITE-9596,1,0.5,1,"According to the comments, the checkbox had ""height:0"". I'm not sure why that was the case, but my guess is that the fix is to remove or change that style, which would only take a few minutes. Then the page should be tested, which may take another 30-60 minutes. So an hour or less is my estimate.",B
IGNITE-9596,1,0.5,4,"The work scope seems quite simple, but time must be planned for the unexpected when quoting workload",C
IGNITE-9596,1,0.5,8,Anyone with experience should be able to edit the code for this in a couple hours and it should be able to run smoothly,C
IGNITE-9596,1,0.5,40,The first day is for initializing the compilers and 3 days for coding. There will be 2 days for finding the errors and halt the project.,B
IGNITE-9596,1,0.5,1,Sounds like a css issue. A simple function can be written with some javascript to toggle the display.,B
IGNITE-9596,2,0.62,8,There isnt that much that needs to be done so there is no reason that this shouldnt take more than a day.,C
IGNITE-9596,2,0.62,1,good,D
IGNITE-9596,2,0.62,20,"one day for coding and two days for testing. I think its a CSS issue too, so testing with the visibility options would be good. Might have to test it on various browsers too, because it might show up on one but not on the other.",B
IGNITE-9596,2,0.62,1,"With just the information provided, it does like the issue is CSS related. Correcting the CSS and adding the javascript should be exceedingly basic for anyone with the faintest idea what they are doing. However, this sounds like a large project, so FINDING the real error point could take some time.",B
IGNITE-9596,2,0.62,1,It's just an invisible checkbox. The problem is just matter of changing a single attribute/argument in a single line of code. It probably doesn't even involve compiling code since its a web interface. Seems like something many people have experienced since it's a web interface so it's probably easy to look up on the internet.,B
IGNITE-9596,2,0.62,1,"Looks like a simple CSS issue, the checkbox can be hidden with a javascript widget, or the CSS can be reviewed for any omissions and rectified.",C
IGNITE-9596,2,0.62,8,GOOD,D
IGNITE-9596,2,0.62,8,"the bug reported is a user interface bug when interacting with the system. the javascript and CSS is not hiding the checkbox appropriately on user input. it will take a couple of hours to write a unit test to verify, and then the rest of the day to fix the bug and verify the fix",B
IGNITE-9596,2,0.62,1,"This task is just about setting a flag or property to the right value. 1 hour for finding it and changing it when found. 
Since we know which element is supposed to show up, we just have to check all values and properties of said element. 50 minutes can then be spent for testing, which is enough to finish within one hour.",B
IGNITE-9596,3,0.76,1,"Probably take an hour if the issue comes down to simply changing the attribute. If it's a deeper issue it might take a few hours to address (i.e. if Bootstrap and custom CSS aren't playing well together). As a previous estimator said, this problem is likely common and well-documented so a quick trip to StackExchange will likely be fruitful.",B
IGNITE-9596,3,0.76,1,The feature seems to have been there or worked before. So something changed that should only take an hour to fix.,B
IGNITE-9596,3,0.76,4,"The update would be a fairly quick thing to do, but there is a PR request that would have to be done, followed by any JIRA task updates, peer reviews and business acceptance. The work is the smallest amount of it for this task description.",C
IGNITE-9596,3,0.76,8,Most likely a small CSS issue but will take some time to test on multiple browsers.,B
IGNITE-9596,3,0.76,4,"Visibility on a checkbox may be ridiculously easy if it's just a bug, but if it's a layout issue, something a little more major may be involved. But even so, I wouldn't expect it to take more than a few hours of trial and error to get it displaying properly.",B
IGNITE-9596,3,0.76,1,None,D
IGNITE-9596,3,0.76,40,NICE,D
IGNITE-9596,3,0.76,1,"The problem is CSS related so correcting this error can be simple but at times also challenging, with someone experience in the field it can take an hour maybe two.",B
AEROGEAR-4319,1,0.83,80,it have to solve connectivity of interfaces implementation.,D
AEROGEAR-4319,1,0.83,80,"This looks like doing manual testing of full functionality of SDK in both positive and negative scenarios , also involves verifying correct metrics which in itself may have several scenarios. All in all a huge effort.",D
AEROGEAR-4319,1,0.83,8,"*UI validation - 2 hours
* Check push data function - 2 hours
* verify correct metrics show up in Grafana Dashboard - 2 hours
* automation check - 2 hours
",A
AEROGEAR-4319,1,0.83,8,It honestly depends on the other program and how accurate it runs. If it isn't working properly- the other software can't do its job and therefore- can't run. If the other runs in a timely manner then it won,B
AEROGEAR-4319,1,0.83,8,"The issue is more of a testing. SDK, Ansible Playbook Bundle, Graffana should take more or less than a day to check failure and evaluation.",B
AEROGEAR-4319,1,0.83,8,"Most of this is validation that software is functioning as intended. It should only take a few hours to develop the validation test cases for interfaces matching, functionality, verification of metrics. However, additional time may be needed depending on # of failure scenarios. Additionally, evaluation of automation may take additional time depending on the # of failures.",B
AEROGEAR-4319,1,0.83,40,I like to think of it sort of like a snowball.,D
AEROGEAR-4319,1,0.83,20,Since testing SDK with metrics apb server to check if implementation works with backeng is a bit long process it would require the specific time frame.,B
AEROGEAR-4319,1,0.83,20,"Testing a SDK in a framework environment could be tricky, but half a week will be enough if made by someone with knowledge about the environment and the various sources of errors",B
AEROGEAR-4322,1,0.79,20,"It is pseudo code / POC, so you are just trying to get the main calls working to demonstrate it.  From the issues log, I get a sense it is not something they have done.  Therefore, the half a week is primarily to research, find/copy code that has be done before and cobble it together.
I had a comment that answer may be rejected.  Not sure why.  As per above, it is primarily POC task.  I would not expect to include things like formal documentation, regression testing, etc. for this task - just get it up and working.",B
AEROGEAR-4322,1,0.79,20,Adding digest based authentication using filters will able to accomplish the requirement. It will take half a week to develop and test and deploy.,B
AEROGEAR-4322,1,0.79,40,The task involves demonstrating how various modules. Once every module is unit tested integration testing might require some code changes or configuration changes which would take minimum of a week for the PoC,B
AEROGEAR-4322,1,0.79,80,"Building libraries for simple solutions will take some time to develop, especially with how you want everything to work together. The HttpRequest pass/fail test cases are not difficult to figure out so I am estimating (probably less) than 2 weeks, but it is safer to overestimate than underestimate.",B
AEROGEAR-4322,1,0.79,40,"Since the endpoint is already available , the code to demonstrate error handling and request retries should be relatively straight forward.",B
LOG4J2-2532,1,0.7,40,The message has various components and variables and check each error condition in a networked environment to check for each condition I think it would take about a week.,B
LOG4J2-2532,1,0.7,8,This requires parsing and manipulating the log message to remove the length of string.,D
LOG4J2-2532,1,0.7,20,It is best t take your time with so you get everything done correctly in a decent matter of time without fault. Testing and fixing any mistakes,B
LOG4J2-2532,1,0.7,8,good one survey,D
LOG4J2-2532,1,0.7,8,"Login security issue check
parser error check",C
LOG4J2-2532,1,0.7,8,Would need to adjust the TLS bytes,C
LOG4J2-2532,1,0.7,1,I would allow 30-60 minutes for this issue but I think it could be accomplished in less time,C
LOG4J2-2532,1,0.7,40,it is a very usefull,D
LOG4J2-2532,1,0.7,4,Half a day is enough to solve and test the problem because it is a small and targeted problem that has no consequences in other parts of the code,B
LOG4J2-2532,1,0.7,4,Seems like a simple issue to fix,C
LOG4J2-2532,1,0.7,80,good one,D
LOG4J2-2532,1,0.7,40,Lovr,D
LOG4J2-2532,1,0.7,4,It's a coding issue that need further log lines. Once the location of the error is found it shouldn't take much to correct.,B
LOG4J2-2532,1,0.7,8,"If this want to log via Syslog (RFC5424) the logs seem to have the length of the message
in front of the message which results in parser errors.",C
LOG4J2-2532,1,0.7,8,Make code changes at client/server side scripting to hadle dynamic message length to accomodate the dyanamic error handling,B
LOG4J2-2532,2,0.67,8,Must me an issue with the length of the message passed. It crosses the maximum number of characters allowed. Just figure out and cut short the data length..and test it,B
LOG4J2-2532,2,0.67,4,It has to do with logging information which won't take long to make it right. Half a day should be plenty of time for one person to look at it and see where the problem lies.,B
LOG4J2-2532,2,0.67,40,"It's a specified issue that need to be find but doesn't do anything on the rest of the code. It should take a week max, for 1 person only to resolve it.",B
LOG4J2-2532,2,0.67,1,"I think it's a server key problem, if you got the write key and put it, it will be solved.",B
LOG4J2-2532,2,0.67,4,The text seems complicated to solve as it has many errors it might take an hour to half a day to solve it successfully.,B
LOG4J2-2532,3,0.71,1,"I think it's a server key problem, if you got the write key and put it, it will be solved.",B
LOG4J2-2532,3,0.71,80,It's my opinions.,D
LOG4J2-2532,3,0.71,8,This is a logging issue and as such I do not think that it would necessitate any work that would take longer than a day. No substantial coding would be necessary.,B
LOG4J2-2532,3,0.71,8,"A day for one person. It should be less time, but we will give wiggle room to the developer fixing the bug in case it takes too much time being able to replicate the bug.",B
LOG4J2-2532,3,0.71,8,It involves logged information which won't take long to make it right. Half a day should be plenty of time for one person to look at it and figure out the issue.,B
LOG4J2-2532,3,0.71,20,"It'a a minor error, a couple days to understand it and fix it and a day to test it well.",B
AEROGEAR-5552,1,0.71,8,"I believe that it will take 24 hours of labour. This is because of the multiple dependencies that are need to be connected. Whilst using the same dependencies can save time in the short term, the issue will need to be revisited in the future if this approach is used.",B
AEROGEAR-5552,1,0.71,40,"There are numerous workarounds suggested for this issue. It would be ideal to do a trial and error, as none of them are fool proof and stick to the one which suits the above project. The trial and error including testing would need a week to validate and be approved",B
AEROGEAR-5552,1,0.71,20,"Downgrading the build would probably be a fix, but it would take some time to do it in the whole project and Qa for any bug that may appear later on",C
AEROGEAR-5552,1,0.71,80,This seems to be a pretty complex feature which will require lot of analysis and quite a bit of development and testing effort.,B
AEROGEAR-5552,1,0.71,40,"Need to code for version compatibility - depends on the amount of code
Testing for both the codes",B
AEROGEAR-5552,1,0.71,80,good,D
AEROGEAR-5552,1,0.71,40,The mention of solving a similar problem being solved on the android version could mean reusing the solution used there making this a quick problem to fix. However networking can be a pain to refactor/switch libraries especially if there are dependencies involved which could cause the time required to spike meaning I gave a larger margin.,B
AEROGEAR-5552,2,0.71,8,to change neccessary configuration at server side to support importing third party vendor application interface as well as client side scripting and testing the same.,B
AEROGEAR-5552,2,0.71,40,"There are numerous workarounds suggested for this issue. It would be ideal to do a trial and error, as none of them are fool proof and stick to the one which suits the above project. The trial and error including testing would need a week to validate and be approved",B
AEROGEAR-5552,2,0.71,40,"Assuming the person can devote their time to this problem over the course of a week, and that it does not require resources out of the person's control (other people to collaborate, which would depend on their schedule/workload), this problem should be workable in a week",B
AEROGEAR-5552,2,0.71,80,This feature is very complex which requires a llot of testing and development.,B
AEROGEAR-5552,2,0.71,40,This will take almost a week as it is not a very easy task to finish by one person less than one week. The version compatibility will definitely need this amount of time including developing and testing.,B
AEROGEAR-5552,3,0.81,20,I believe that if they can have more than one person working on the configuration at a time for a longer period of hours they can find a solution to the problem whether it be somehow allowing there to be two or more third party applications or not.,B
AEROGEAR-5552,3,0.81,40,This require small changes in a lot of files. and need the testing for version compatibility,B
AEROGEAR-5552,3,0.81,40,"The issue can be resolved and does seems to be well understood but in my opinion it will take a long time to implement and then test every change.
Getting feedback for selected users along the way would be a good idea",B
AEROGEAR-5552,3,0.81,80,This feature is very complex which requires a llot of testing and development.,B
AEROGEAR-5552,3,0.81,40,"You need to make changes both on the client side and the server side, with an extent to which we are not sure right away about. Lots of trial and error would need to be implemented, and there could be a lot of testing involved.",B
AMBARI-23382,1,0.5,40,Need about a week to troubleshoot and test the softwate after updating.,B
AMBARI-23382,1,0.5,1,It looks like fixing this problem just involves changing some parameters in a Python script back to the settings they were using before an update was installed. One of the default parameters was changed. It might take 15-20 minutes but I doubt it would even take that long.,B
AMBARI-23382,1,0.5,40,This will require considerable code changes to obtain and use full host name dynamically .,B
AMBARI-23382,1,0.5,8,Must be a configuration issue,C
AMBARI-23382,1,0.5,4,"It's probably only an hour or two task, but let's call it half a day to be conservative.",C
AMBARI-23382,1,0.5,4,I would simply just change the parameters to avoid any certifications errors.,B
AMBARI-23382,1,0.5,4,This is a common error and one that can be fixed very easily. Anyone that understands the issue can resolve the problem easily.,C
AMBARI-23382,1,0.5,40,It should be less if it's just an issue with the SSL cert but I've had issues where python depreciates stuff and requires an update to a later version.,C
AMBARI-23382,1,0.5,1,"When I googled it, I found that it would take a one line change to the set up files of python.",B
AMBARI-23382,2,0.7,8,need to fix ssl certificate configuration issue at client side API Jason request and unit test the same.,B
AMBARI-23382,2,0.7,1,This must be a configuration change or one or two lines of code changes,B
AMBARI-23382,2,0.7,4,"First a Python update is needed, then testing will be required,
although it could take  30 minutes, you never know when you test from a updated version so 
I would say three hours because you can't be sure in advance. ",B
AMBARI-23382,2,0.7,20,This will require considerable code changes to obtain and use full host name dynamically.,B
AMBARI-23382,2,0.7,1,I would say that giving it an hour is probably sufficient to solve this issue. There is basic coding involved but there are python scripts out there that can be utilized in an efficient manner.,B
AMBARI-23382,3,0.67,20,Code changes are needed to provide the full host name dynamically. That is the problem so it might take around half a week or up to one for one person.,B
AMBARI-23382,3,0.67,8,"Well for ""Ambari-server sync-ldap: Sync event creation failed"" it looks like it's likely an AD settings issue. It might take just an hour but there could be other problems causing this and it would be wise to budget a day for troubleshooting and testing.",B
AMBARI-23382,3,0.67,8,It seems like the ambari-server can't sync since the hostname is probably incorrect.,C
AMBARI-23382,3,0.67,4,Just remove the hard-coded name and either pass it as a parameter or as a setting,D
AMBARI-23382,3,0.67,40,I think this will just involve updating all software to current versions and retesting but want to ensure sufficient time to work out related issues,C
AMBARI-23382,3,0.67,4,"Depends on the person and if it is the only issue. It seems, to me, to be a more basic error in how the code was entered.",C
AMBARI-23382,3,0.67,8,"With a full day of work on this, I am sure any person would be able to solve this problem. By using research and online resources in a smart way, one is able to find the error and fix it easily.",B
AMBARI-23382,3,0.67,1,This must be a configuration change or one or two lines of code changes.,B
AMBARI-23382,3,0.67,1,"I don't think there is significant enough code changes to be made to warrant over an hour on this project. There are python scripts available that can mitigate the time, and I would definitely put this at about an hour or two.",B
